Air Force Blue;Военно-воздушный синий;#5D8AA8;93;138;168;45;18;0;34;204;45;66
Alice Blue;Синий Элис [Рузвельт Лонгворт];#F0F8FF;240;248;255;6;3;0;0;208;6;100
Alizarin Crimson;Ализариновый красный;#E32636;227;38;54;1;92;82;0;355;83;89
Almond;Миндаль Крайола;#EFDECD;239;222;205;0;7;14;6;30;14;94
Amaranth;Амарантовый;#E52B50;229;43;80;0;81;65;10;348;81;90
Amber;Янтарный;#FFBF00;255;191;0;0;25;100;0;45;100;100
American Rose;Американская роза;#FF033E;255;3;62;0;99;76;0;346;99;100
Amethyst;Аметистовый;#9966CC;153;102;204;25;50;0;20;270;50;80
Anti-flash White;Матовый белый;#F2F3F4;242;243;244;1;0;0;4;210;1;96
Antique White;Античный белый;#FAEBD7;250;235;215;1;7;15;0;34;14;98
Apple Green;Яблочно-зелёный;#8DB600;141;182;0;23;0;100;29;74;100;71
Asparagus;Спаржа;#7BA05B;123;160;91;23;0;43;37;92;43;63
Aqua;Цвет морской волны;#00FFFF;0;255;255;100;0;0;0;180;100;100
Aquamarine;Аквамариновый;#7FFFD4;127;255;212;50;0;17;0;160;50;100
Army Green;Армейский зелёный;#4B5320;75;83;32;10;0;61;67;69;61;33
Arsenic;Мышьяковый;#3B444B;59;68;75;21;9;0;71;206;21;29
Azure;Лазурный, Азур;#007FFF;0;127;255;100;50;0;0;210;100;100
Battleship Grey;Голубовато-серый цвет;#848482;132;132;130;0;0;2;48;60;2;52
Beige;Беж, бежевый;#F5F5DC;245;245;220;0;0;10;4;60;10;96
Bistre;Бистр;#3D2B1F;61;43;31;0;30;49;76;24;49;24
Bittersweet;Горький розовый;#FE6F5E;254;111;94;0;56;63;0;6;63;100
Black;Чёрный;#000000;0;0;0;0;0;0;100;0;0;0
Blond;Белокурый;#FAF0BE;250;240;190;0;4;24;2;50;24;98
Blue;Синий;#0000FF;0;0;255;100;100;0;0;240;100;100
Bondi Blue;Вода пляжа Бонди;#0095B6;0;149;182;100;18;0;29;191;100;71
Boston University Red;Красный Университета Бостона;#CC0000;204;0;0;0;100;100;20;0;100;80
Brass;Латунный;#B5A642;181;166;66;0;8;64;29;52;64;71
Bright green;Ярко-зелёный;#66FF00;102;255;0;60;0;100;0;96;100;100
Bright turquoise;Ярко-бирюзовый;#08E8DE;8;232;222;59;0;24;0;177;97;91
Bright violet;Ярко-фиолетовый;#CD00CD;205;0;205;36;88;0;0;300;100;80
Bronze;Бронзовый;#CD7F32;205;127;50;12;58;88;6;30;76;80
Brown;Коричневый;#964B00;150;75;0;0;50;100;41;30;100;59
Buff;Кожа буйвола, палевый;#F0DC82;240;220;130;0;8;46;6;49;46;94
Burgundy;Бургундский;#900020;144;0;32;0;97;100;50;347;100;56
Burnt Orange;Выгоревший оранжевый;#CC5500;204;85;0;0;58;100;20;25;100;80
Burnt Sienna;Сиена жжёная;#E97451;233;116;81;0;50;65;9;14;65;91
Burnt umber;Коричневый, умбра жжёная;#8A3324;138;51;36;0;63;74;46;9;74;54
Camel;Желтовато-коричневый, камель;#C19A6B;194;154;107;0;20;45;24;33;45;76
Camouflage green;Хаки;#78866B;120;134;107;55;35;62;10;91;20;53
Canonical aubergine;Баклажановый Canonical[2][3][4];#772953;119;41;83;26;99;12;52;328;65;46
Cardinal;Тёмно-красный, кардинал;#C41E3A;196;30;58;0;40;60;0;350;85;77
Carmine;Карминово-красный;#960018;150;0;24;0;100;84;41;350;100;59
Carrot;Морковный;#ED9121;237;145;33;4;50;100;0;33;86;93
Celadon;Селадоновый;#ACE1AF;172;225;175;21;0;19;12;123;24;88
Cerise;Светлая вишня;#DE3163;222;49;99;0;78;55;13;343;78;87
Cerulean;Лазурный;#007BA7;0;123;167;100;26;0;35;196;100;65
Cerulean blue;Лазурно-синий;#2A52BE;42;82;190;78;57;0;25;224;78;75
Chartreuse;Салатовый цвет, шартрез;#7FFF00;127;255;0;50;0;100;0;90;100;100
Chestnut;Каштановый;#CD5C5C;205;92;92;0;55;55;20;0;55;80
Chocolate;Шоколадный;#D2691E[5];210;105;30;0;50;86;18;25;86;82
Cinnamon;Коричный;#7B3F00;123;63;0;16;60;82;51;20;240;58
Cobalt;Кобальт синий;#0047AB;0;71;171;100;58;0;33;215;100;67
Copper;Медный;#B87333;184;115;51;0;38;72;28;29;72;72
Coral;Коралловый, кораллово-красный;#FF7F50;255;127;80;0;50;69;0;16;69;100
Corn;Кукурузный;#FBEC5D;251;236;93;4;1;77;0;54;63;98
Cornflower blue;Васильковый;#6495ED;100;149;237;58;37;0;7;219;58;93
Cream;Кремовый;#FFFDD0;255;253;208;0;1;18;0;57;18;100
Crimson;Тёмно-красный, кровавый, Малиновый;#DC143C;220;20;60;0;91;73;14;348;91;86
Cyan;Циан, васильковый;#00FFFF;0;255;255;100;0;0;0;180;100;100
Dark blue;Тёмно-синий цвет;#00008B;0;0;139;100;99;10;11;240;100;55
Dark brown;Тёмно-коричневый;#654321;101;67;33;0;34;67;60;30;67;40
Dark cerulean;Тёмно-лазурный;#08457E;8;69;126;94;45;0;51;209;94;49
Dark chestnut;Тёмно-каштановый;#986960;152;105;96;0;31;37;40;10;37;60
Dark coral;Тёмно-коралловый;#CD5B45;205;91;69;15;77;78;3;10;66;80
Dark goldenrod;Тёмно-золотой;#B8860B;184;134;11;0;27;94;28;43;94;72
Dark green;Тёмно-зелёный;#013220[5];1;50;32;98;0;36;80;158;98;20
Dark Indigo;Тёмный индиго, индиго;#310062;49;0;98;50;100;0;62;270;100;38
Dark Khaki;Тёмный хаки, хаки;#BDB76B;189;183;107;0;3;43;26;56;43;74
Dark Olive;Тёмно-оливковый;#556832[5];85;104;50;65;40;95;27;81;52;41
Dark pastel green;Тёмный пастельно-зелёный;#03C03C;3;192;60;76;0;100;0;138;98;75
Dark Peach;Тёмно-персиковый;#FFDAB9;255;218;185;0;15;27;0;28;27;100
Dark pink;Тёмно-розовый;#E75480;231;84;128;4;82;26;0;342;64;91
Dark salmon;Тёмная лососина;#E9967A;233;150;122;0;36;48;9;15;48;91
Dark Scarlet;Тёмно-алый;#560319;86;3;25;0;97;71;66;344;97;34
Dark slate gray;Тёмно-аспидный серый, аспидно-серый;#2F4F4F;47;79;79;41;0;0;69;180;41;31
Dark spring green;Тёмный весенне-зелёный;#177245;23;114;69;87;31;88;20;150;80;45
Dark tan;Тёмный жёлто-коричневый;#918151;145;129;81;41;41;77;12;45;44;57
Dark tangerine;Тёмно-мандариновый;#FFA812;255;168;18;0;39;99;0;38;93;100
Dark Tea Green;Тёмный зелёный чай;#BADBAD;186;219;173;28;1;40;0;103;21;86
Dark turquoise;Тёмно-бирюзовый;#116062;17;96;98;89;45;55;25;181;83;38
Dark violet;Глубокий фиолетовый цвет;#423189;66;49;137;92;98;8;1;252;64;54
Deep pink;Глубокий розовый цвет;#FF1493;255;20;147;0;95;0;0;328;92;100
Deep sky blue;Голубой цвет;#00BFFF;0;191;255;70;0;2;0;195;100;100
Denim;Джинсовый синий;#1560BD;21;96;189;89;49;0;26;213;89;74
Dodger blue;Защитно-синий;#1E90FF;30;144;255;88;44;0;0;210;88;100
Emerald;Изумрудный;#50C878;80;200;120;60;0;40;22;140;60;78
Eggplant;Баклажановый;#990066;153;0;102;0;100;33;40;320;100;60
Fawn;Желтовато-коричневый;#E5AA70;229;170;112;0;26;51;10;30;51;90
Fern green;Зелёный папоротник;#4F7942;79;121;66;71;32;90;18;106;45;47
Fire brick;Кирпичный;#B22222;178;34;34;21;99;100;12;0;81;70
Flax;Льняной;#EEDC82;238;220;130;7;8;60;0;50;45;93
Fuchsia;Фуксия;#FF00FF;255;0;255;7;95;0;0;300;100;100
Gamboge;Гуммигут;#E49B0F;228;155;15;5;48;97;1;39;93;89
Gold;Золотой;#FFD700;255;215;0;0;13;95;0;51;100;100
Goldenrod;Золотисто-берёзовый;#DAA520;218;165;32;0;24;85;15;43;85;85
Gray;Серый;#808080;128;128;128;0;0;0;50;0;0;50
Gray-asparagus;Серая спаржа;#465945;70;89;69;21;0;22;65;117;22;35
Gray-Tea Green;Зелёный серый чай;#CADABA;202;218;186;7;0;15;15;90;15;85
Green;Зелёный;#00FF00;0;255;0;100;0;100;0;120;100;100
Green-yellow;Жёлто-зелёный;#ADFF2F;173;255;47;32;0;82;0;84;82;100
Gradus Blue;Синий Градуса;#007DFF;0;125;255;79;54;0;0;211;100;100
Heliotrope;Гелиотроп;#DF73FF;223;115;255;13;55;0;0;286;55;100
Hot pink;Ярко-розовый цвет;#FC0FC0;252;15;192;0;94;24;1;315;94;99
Indigo;Индиго;#4B0082;75;0;130;42;100;0;49;275;100;51
International orange (Safety orange);Международный (сигнальный) оранжевый;#FF4F00;255;79;0;0;83;100;0;19;100;100
Indian Red;Индийский красный, каштановый;#CD5C5C;205;92;92;0;55;55;20;0;55;80
Jade;Нефритовый;#00A86B;0;168;107;100;0;36;34;158;100;66
Khaki;Хаки;#C3B091;195;176;145;0;10;26;24;37;26;76
Klein Blue;Синий Клейна;#3A75C4;58;117;196;78;52;0;0;214;70;77
Lavender;Лаванда, лавандово-синий;#E6E6FA;230;230;250;8;8;0;2;240;8;98
Lavender Blush;Розово-лавандовый;#FFF0F5;255;240;245;0;6;4;0;340;6;100
Lemon;Лимонный;#FDE910;253;233;16;0;8;94;1;55;94;99
Lemon Cream;Лимонно-кремовый;#FFFACD;255;250;205;0;2;20;0;54;20;100
Light brown;Светло-коричневый;#CD853F;205;133;63;0;35;69;20;30;69;80
Lilac;Сиреневый;#C8A2C8;200;162;200;0;19;0;22;300;19;78
Lime;Лайм;#CCFF00;204;255;0;20;0;100;0;72;100;100
Linen;Льняной;#FAF0E6;250;240;230;0;4;8;2;30;8;98
Lawn Green;Зелёная лужайка;#7CFC00;124;252;0;51;0;100;1;90;100;99
Magenta;Малиновый, фуксия;#FF00FF;255;0;255;0;100;0;0;300;100;100
Malachite;Малахитовая зелень (малахитовый);#0BDA51;11;218;81;69;0;90;0;140;95;85
Maroon;Коричнево-малиновый;#800000;128;0;0;0;100;100;50;0;100;50
Mauve;Розовато-лиловый;#993366;153;51;102;0;67;33;40;330;67;60
Midnight Blue;Полуночно-синий;#003366[5];0;51;102;100;87;33;23;210;100;40
Mint Green;Зелёная мята (мятный);#98FF98[5];152;255;152;40;0;40;0;120;40;100
Moss green;Зелёный мох;#ADDFAD;173;223;173;20;0;22;13;120;22;87
Mountbatten pink;Розовый Маунтбэттена;#997A8D;153;122;141;0;20;8;40;323;20;60
Mustard;Горчичный;#FFDB58;255;219;88;1;12;77;0;47;65;100
Navajo white;Белый навахо;#FFDEAD;255;222;173;0;13;22;0;36;32;100
Navy;Тёмно-синий, цвет формы морских офицеров;#000080;0;0;128;100;100;0;50;240;100;50
Ochre;Охра;#CC7722;204;119;34;0;42;83;20;30;83;80
Old Gold;Старое золото;#CFB53B;207;181;59;0;13;71;19;49;71;81
Olive;Оливковый;#808000;128;128;0;0;0;100;50;60;100;50
Olive Drab;Нежно-оливковый;#6B8E23;107;142;35;25;0;75;44;80;75;56
Orange;Оранжевый;#FFA500;255;165;0;0;35;100;0;39;100;100
Orchid;Орхидея;#DA70D6;218;112;214;0;49;2;15;302;49;85
Old Lace;Старое кружево;#FDF5E6;253;245;230;0;3;9;1;39;9;99
Pale Blue;Бледно-синий;#AFEEEE;175;238;238;26;0;0;7;180;26;93
Pale brown;Бледно-коричневый;#987654;152;118;84;0;22;45;40;30;45;60
Pale carmine;Бледно-карминный, ср. Кармин;#AF4035;175;64;53;0;63;69;31;5;69;68
Pale chestnut;Бледно-каштановый;#DDADAF;221;173;175;0;22;21;13;358;22;87
Pale cornflower blue;Бледно-васильковый;#ABCDEF;171;205;239;28;14;0;6;210;28;94
Pale magenta;Бледно-пурпурный;#F984E5;249;132;229;0;47;8;2;310;47;98
Pale mauve;Бледный розовато-лиловый;#996666;153;102;102;0;33;33;40;0;33;60
Pale pink;Бледно-розовый;#FADADD;250;218;221;0;13;12;2;354;13;98
Pale red-violet;Лиловый;#DB7093;219;112;147;0;49;33;14;340;49;86
Pale Sandy Brown;Бледно-песочный цвет;#DABDAB;218;189;171;0;13;22;15;23;22;85
Pale yellow;Палевый;#F0DC82;240;220;130;0;8;46;6;49;46;94
Pang;Панг;#C7FCEC;199;252;236;19;0;12;0;162;21;99
Papaya whip;Побег папайи;#FFEFD5;255;239;213;0;6;16;0;37;16;100
Pastel green;Пастельно-зелёный;#77DD77;119;221;119;46;0;46;13;120;46;87
Pastel pink;Пастельно-розовый;#FFD1DC;255;209;220;0;18;14;0;346;18;100
Peach;Персиковый;#FFE5B4;255;229;180;0;10;29;0;39;29;100
Peach-orange;Оранжево-персиковый;#FFCC99;255;204;153;0;20;40;0;30;40;100
Peach-yellow;Жёлто-персиковый;#FADFAD;250;223;173;0;11;31;2;39;31;98
Pear;Грушевый;#D1E231;209;226;49;7;0;78;11;65;78;88
Periwinkle;Барвинок;#CCCCFF;204;204;255;20;20;0;0;240;20;100
Persian blue;Персидский синий;#6600FF;102;0;255;60;100;0;0;264;100;100
Pine Green;Зелёная сосна;#01796F;1;121;111;99;0;80;53;175;99;47
Pink;Розовый;#FFC0CB;255;192;203;0;25;20;0;350;25;100
Pink-orange;Оранжево-розовый;#FF9966;255;153;102;0;40;60;0;20;60;100
Plum;Сливовый;#660066;102;0;102;0;100;0;60;300;100;40
Powder blue;Пороховая синь;#003399;0;51;153;100;67;0;40;220;100;60
Puce;Красновато-коричневый, пюсовый (устар.), тёмно-коричневый, блошиный;#CC8899;204;136;153;0;33;25;20;345;33;80
Prussian blue;Берлинская лазурь;#003153;0;49;83;63;35;14;72;205;100;33
Pumpkin;Тыква;#FF7518;255;117;24;0;54;90;0;24;90;100
Purple;Фиолетовый (оттенок);#800080;128;0;128;0;100;0;50;300;100;60
Raw umber;Умбра;#734A12;115;74;18;0;35;84;54;34;84;45
Red;Красный;#FF0000;255;0;0;0;100;100;0;0;100;100
Red-violet;Фиолетово-красный;#C71585;199;21;133;0;89;33;22;322;89;78
Robin egg blue;Цвет яйца дрозда;#00CCCC;0;204;204;100;0;0;20;180;100;80
Royal Blue;Ярко-синий («королевский синий»);#4169E1;65;105;225;71;53;0;12;225;71;88
Russet;Красновато-коричневый;#755A57;117;90;87;49;60;56;26;6;26;46
Rust;Ржаво-коричневый;#B7410E;183;65;14;22;85;100;13;18;92;72
Rosy Brown;Розово-коричневый;#BC8F8F;188;143;143;0;24;24;26;0;24;74
Safety Orange (Blaze Orange);Сигнальный оранжевый;#FF9900;255;153;0;0;40;100;0;36;100;100
Saffron;Шафрановый;#F4C430;244;196;48;8;23;99;0;45;80;96
Sapphire;Сапфировый;#082567;8;37;103;92;64;0;60;222;92;40
Sana;Салутовый;#F39643;210;134;200;13;67;31;16;74;10;47
Salmon;Лососёвый;#FF8C69[5];255;55;105;0;45;59;0;14;59;100
Sandy brown;Песочный цвет;#F4A460;244;164;96;2;41;69;0;28;61;96
Sangria;Сангрия;#92000A;146;0;10;17;92;99;32;356;100;57
Scarlet;Ярко-красный, алый;#FF2400;255;36;0;0;95;100;0;8;100;100
School bus yellow;Цвет жёлтого школьного автобуса;#FFD800;255;216;0;1;12;100;0;51;100;100
Sea Green;Зелёное море;#2E8B57;46;139;87;81;23;83;7;146;67;55
Seashell;Цвет морской пены;#FFF5EE;255;245;238;0;3;4;0;25;7;100
Selective yellow;Отборный жёлтый;#FFBA00;255;186;0;0;27;100;0;44;100;100
Sepia;Сепия;#704214;112;66;20;0;41;82;56;30;82;44
Silver;Серебряный;#C0C0C0;192;192;192;0;0;0;25;0;0;75
Slate gray;Серый шифер;#708090;112;128;144;60;43;34;4;210;22;56
Spring Green;Зелёная весна;#00FF7F;0;255;127;59;0;79;0;150;100;100
Steel blue;Синяя сталь;#4682B4;70;130;180;75;42;10;0;207;61;71
Swamp green;Болотный;#ACB78E;172;183;142;6;0;22;28;76;22;71
Tan;Цвет загара;#D2B48C;210;180;140;0;14;33;18;34;33;82
Tenn?;Краснобуро-оранжевый;#CD5700;205;87;0;11;75;100;4;25;100;80
Tangerine;Мандариновый;#FFCC00;255;204;0;0;25;94; ?;33;100;50
Tea Green;Зелёный чай;#D0F0C0;208;240;192;20;0;30;0;100;20;94
Teal;Сине-зелёный;#008080;0;128;128;100;0;0;50;180;100;50
Thistle;Чертополох;#D8BFD8;216;191;216;18;27;2;1;300;12;85
Turquoise;Бирюзовый, ср. бирюза;#30D5C8;48;213;200;77;0;6;16;175;77;84
Titian;Тициановый;#d53e07;213;62;7;0;71;97;16;16;97;84
Transport Red;Транспортный красный;#CC0605;204;6;5;0;97;98;20;0;98;80
Tomato;Томатный;#FF6347;255;99;71;0;61;72;0;9;72;100
Ultramarine;Ультрамариновый;#120A8F;18;10;143;100;90;4;1;244;93;56
United Nations Blue;Цвет флага ООН;#5B92E5;91;146;229;60;36;0;10;216;60;90
Ubuntu orange;Оранжевый Ubuntu[6][3][4];#DD4814;221;72;20;0;79;100;0;15;90;86
Vanilla;Ванильный;#F3E5AB;243;229;171;0;6;30;5;48;30;95
Vermilion;Киноварь, ср. киноварь (минерал);#E34234;227;66;52;0;71;77;11;5;77;89
Violet;Фиолетовый;#8B00FF;139;0;255;45;100;0;0;273;100;100
Violet-eggplant;Фиолетово-баклажанный;#991199;153;17;153;0;88;0;39;300;88;60
Viridian;Ядовито-зелёный;#40826D;64;130;109;51;0;16;49;161;51;51
Wheat;Пшеничный;#F5DEB3;245;222;179;0;9;26;3;39;26;96
White;Белый;#FFFFFF;255;255;255;0;0;0;0;0;0;100
Wisteria;Глициния;#C9A0DC;201;160;220;16;40;0;0;281;27;86
Wine;Вино;#722F37;114;47;55;0;59;52;55;353;59;45
Xanadu;Занаду;#738678;115;134;120;14;0;10;47;136;14;53
Yellow;Жёлтый;#FFFF00;255;255;0;0;0;100;0;60;100;100
Zinnwaldite;Циннвальдит;#EBC2AF;235;194;175;0;17;25;7;19;25;92
Zaffre;Кобальтовая синь;#0014A8;0;20;168;100;88;0;34;233;100;66
